Gender,Married,Education,Self_Employed,ApplicantIncome,LoanAmount,Credit_History,Property_Area,Loan_Status
Male,Yes,Graduate,Yes,3928,495,1,Semiurban,Not Approved
Female,No,Not Graduate,Yes,23010,682,0,Rural,Not Approved
Male,No,Not Graduate,Yes,12796,104,1,Semiurban,Approved
Male,No,Not Graduate,No,9313,61,1,Urban,Approved
Male,Yes,Graduate,Yes,15914,449,1,Semiurban,Approved
Female,Yes,Not Graduate,Yes,13301,697,1,Rural,Approved
Male,Yes,Graduate,No,13245,564,1,Rural,Approved
Male,No,Not Graduate,Yes,14525,591,0,Semiurban,Not Approved
Male,No,Graduate,No,4856,286,1,Urban,Approved
Female,No,Graduate,No,15788,328,0,Semiurban,Not Approved
Male,Yes,Graduate,No,8040,397,0,Urban,Not Approved
Male,No,Not Graduate,Yes,17922,676,0,Semiurban,Not Approved
Male,No,Not Graduate,Yes,4842,153,1,Rural,Approved
Male,No,Not Graduate,Yes,10578,679,1,Urban,Approved
Female,No,Not Graduate,No,4344,566,0,Urban,Not Approved
Male,Yes,Graduate,Yes,11896,297,1,Urban,Approved
Female,Yes,Not Graduate,No,18982,413,1,Rural,Approved
Female,No,Not Graduate,Yes,24911,370,0,Semiurban,Not Approved
Female,Yes,Graduate,No,19707,682,1,Rural,Approved
Male,Yes,Graduate,Yes,15498,335,1,Urban,Approved
Female,No,Graduate,Yes,14761,198,1,Semiurban,Approved
Male,No,Not Graduate,Yes,21039,133,1,Rural,Approved
Female,Yes,Graduate,No,4593,455,1,Urban,Approved
Female,No,Graduate,No,13222,505,1,Urban,Approved
Female,Yes,Graduate,Yes,23542,210,1,Rural,Approved
Female,No,Not Graduate,Yes,21662,509,1,Rural,Approved
Female,Yes,Graduate,No,20780,599,0,Rural,Not Approved
Female,No,Not Graduate,No,13145,549,1,Urban,Approved
Female,Yes,Not Graduate,No,16583,558,1,Rural,Approved
Female,Yes,Graduate,Yes,2488,530,0,Urban,Not Approved
Male,Yes,Graduate,No,22000,163,0,Rural,Not Approved
Male,No,Not Graduate,Yes,7946,627,1,Urban,Approved
Female,Yes,Graduate,No,17835,410,1,Urban,Approved
Female,Yes,Graduate,Yes,22063,390,1,Semiurban,Approved
Female,No,Not Graduate,No,17633,498,1,Rural,Approved
Male,No,Not Graduate,No,3182,229,0,Rural,Not Approved
Female,Yes,Graduate,No,7126,456,1,Urban,Approved
Male,Yes,Not Graduate,No,8924,245,0,Urban,Not Approved
Male,No,Graduate,No,14357,515,1,Urban,Approved
Male,No,Graduate,Yes,13655,360,1,Semiurban,Approved
Male,No,Graduate,No,18817,311,1,Semiurban,Approved
Male,No,Not Graduate,No,21482,468,1,Urban,Approved
Female,No,Graduate,No,12925,455,1,Rural,Approved
Female,Yes,Graduate,Yes,3480,192,1,Rural,Not Approved
Female,No,Graduate,No,17022,391,1,Semiurban,Approved
Female,Yes,Not Graduate,Yes,20940,365,1,Semiurban,Approved
Female,Yes,Not Graduate,No,10484,150,1,Urban,Approved
Male,Yes,Not Graduate,No,18675,293,1,Rural,Approved
Female,No,Not Graduate,Yes,17383,539,1,Urban,Approved
Female,Yes,Not Graduate,No,6890,61,1,Semiurban,Approved
Male,Yes,Graduate,Yes,24519,288,0,Rural,Not Approved
Female,No,Not Graduate,Yes,20139,610,1,Rural,Approved
Male,Yes,Not Graduate,No,21494,91,1,Semiurban,Approved
Female,Yes,Not Graduate,Yes,3107,643,0,Urban,Not Approved
Male,No,Graduate,No,23063,478,0,Urban,Not Approved
Female,Yes,Not Graduate,No,8073,207,0,Rural,Not Approved
Female,Yes,Not Graduate,Yes,18868,265,1,Semiurban,Approved
Male,Yes,Graduate,Yes,7276,511,1,Rural,Approved
Male,No,Not Graduate,Yes,5176,183,1,Semiurban,Approved
Male,No,Graduate,Yes,4880,116,1,Urban,Approved
Male,No,Graduate,No,10211,56,1,Semiurban,Approved
Male,Yes,Graduate,No,10282,575,1,Urban,Approved
Male,Yes,Graduate,Yes,18934,122,1,Semiurban,Approved
Male,No,Graduate,No,15497,448,1,Rural,Approved
Male,Yes,Not Graduate,No,21517,454,1,Urban,Approved
Female,Yes,Graduate,No,7842,627,1,Rural,Approved
Female,No,Graduate,No,18843,179,0,Rural,Not Approved
Male,No,Not Graduate,Yes,7559,515,1,Urban,Approved
Female,Yes,Graduate,Yes,10384,255,1,Urban,Approved
Female,Yes,Not Graduate,No,7155,315,1,Rural,Approved
Female,Yes,Not Graduate,Yes,13591,586,0,Rural,Not Approved
Female,No,Not Graduate,Yes,22357,302,0,Rural,Not Approved
Male,No,Graduate,Yes,20830,338,1,Rural,Approved
Female,No,Graduate,No,16751,213,0,Urban,Not Approved
Male,No,Graduate,No,2026,144,1,Urban,Not Approved
Female,Yes,Not Graduate,No,4724,159,0,Rural,Not Approved
Female,No,Graduate,Yes,16569,385,1,Semiurban,Approved
Female,No,Graduate,No,13036,287,1,Semiurban,Approved
Male,No,Graduate,No,15047,430,1,Urban,Approved
Female,No,Not Graduate,Yes,19759,485,1,Rural,Approved
Male,No,Not Graduate,No,3263,532,0,Rural,Not Approved
Female,Yes,Graduate,No,10212,74,0,Urban,Not Approved
Male,Yes,Graduate,Yes,7297,166,1,Semiurban,Approved
Female,No,Graduate,Yes,10708,531,1,Semiurban,Approved
Male,Yes,Graduate,Yes,24983,441,1,Semiurban,Approved
Male,No,Not Graduate,No,6609,586,1,Urban,Approved
Female,No,Not Graduate,No,24528,128,1,Semiurban,Approved
Male,Yes,Not Graduate,No,18000,629,1,Urban,Approved
Female,Yes,Not Graduate,Yes,3933,222,1,Urban,Not Approved
Female,No,Graduate,Yes,23347,61,0,Rural,Not Approved
Female,No,Graduate,No,18467,177,1,Semiurban,Approved
Female,No,Graduate,No,21672,657,1,Urban,Approved
